,item,type,tax_year,total,< $5k,$5k - 10k,$10k - 15k,$15k - 20k,$20k - 25k,$25k - 30k,$30k - 35k,$35k - 40k,$40k - 45k,$45k - 50k,$50k - 55k,$55k - 60k,$60k - 70k,$70k - 80k,$80k - 90k,$90k - 100k,$100k - 150k,$150k - 250k,> $250k
10,Universal Child Care Benefit (UCCB),#,2012,1611260.0,367870.0,143150.0,158900.0,131320.0,112520.0,103170.0,95790.0,87700.0,76290.0,62970.0,51460.0,42020.0,61730.0,40760.0,26740.0,17580.0,23220.0,6450.0,1610.0
11,Employment Insurance and other benefits,#,2012,2430500.0,35550.0,90950.0,187970.0,255910.0,273510.0,269120.0,250330.0,217530.0,182660.0,142530.0,110660.0,85890.0,122090.0,75780.0,46500.0,28130.0,46030.0,7930.0,1430.0
12,Taxable amount of dividends from taxable Canadian corporations,#,2012,3929620.0,82860.0,71180.0,124600.0,192560.0,221220.0,201400.0,216390.0,226700.0,246410.0,215070.0,197120.0,178840.0,321580.0,261780.0,208840.0,166890.0,419940.0,226480.0,149770.0
13,Interest and other investment income,#,2012,6336210.0,277400.0,210400.0,333950.0,531920.0,510340.0,400810.0,395690.0,381710.0,383530.0,321140.0,281630.0,250420.0,430040.0,337860.0,257580.0,201410.0,455630.0,224420.0,150350.0
14,Net partnership income (Limited or non-active partners only),#,2012,98260.0,11570.0,970.0,1070.0,1320.0,1490.0,1560.0,1830.0,2110.0,2470.0,2550.0,2630.0,2530.0,5130.0,5050.0,4630.0,4260.0,14640.0,13440.0,19030.0
15,Registered disability savings plan income (RDSP),#,2012,400.0,30.0,60.0,130.0,60.0,30.0,20.0,10.0,10.0,10.0,,,,,,,,,,
16,Net rental income,#,2012,1391680.0,51950.0,48500.0,68310.0,84070.0,87890.0,79500.0,80460.0,80430.0,82140.0,73050.0,66710.0,60470.0,104620.0,85650.0,69040.0,53830.0,123560.0,57290.0,34220.0
17,Taxable capital gains,#,2012,1951230.0,53250.0,44820.0,66100.0,97510.0,114340.0,102310.0,107440.0,109940.0,117640.0,102150.0,91830.0,84100.0,151350.0,124250.0,98050.0,79930.0,202280.0,115910.0,88050.0
18,Support payments received,#,2012,79770.0,2870.0,4740.0,7330.0,8520.0,8450.0,6680.0,6000.0,5490.0,4830.0,4180.0,3440.0,2770.0,4380.0,2870.0,1870.0,1480.0,2710.0,880.0,300.0
19,Registered retirement savings plan income (RRSP),#,2012,2116520.0,62860.0,57580.0,89420.0,115030.0,136000.0,133310.0,144610.0,154280.0,158260.0,138310.0,123660.0,110200.0,183530.0,137620.0,100750.0,74060.0,138640.0,43800.0,14610.0
20,Other income,#,2012,3714920.0,177010.0,210040.0,240300.0,244800.0,240160.0,212250.0,215830.0,216820.0,220830.0,186520.0,161630.0,144420.0,248720.0,198160.0,155270.0,121710.0,284600.0,142690.0,93160.0
21,Net business income,#,2012,1840060.0,149210.0,192720.0,235760.0,192550.0,153280.0,123410.0,104690.0,91600.0,84030.0,69520.0,59210.0,50610.0,81580.0,61310.0,45750.0,33490.0,70460.0,27440.0,13450.0
22,Net professional income,#,2012,315090.0,13570.0,16350.0,20470.0,18270.0,15570.0,13800.0,12590.0,12060.0,11640.0,10820.0,10090.0,9510.0,17410.0,15650.0,13320.0,11160.0,34760.0,30010.0,28050.0
23,Net commission income,#,2012,197120.0,15080.0,16080.0,19260.0,16980.0,14750.0,12800.0,11520.0,10580.0,9690.0,8470.0,7250.0,6250.0,10600.0,8030.0,6270.0,4780.0,11330.0,5250.0,2150.0
24,Net farming income,#,2012,336930.0,19270.0,19240.0,29350.0,28260.0,24110.0,20860.0,20000.0,18350.0,20210.0,15940.0,13330.0,11820.0,20180.0,15410.0,12140.0,9190.0,21740.0,10700.0,6850.0
25,Net fishing income,#,2012,26370.0,700.0,850.0,1610.0,2250.0,2700.0,2910.0,2520.0,2100.0,1910.0,1610.0,1290.0,1050.0,1560.0,970.0,650.0,400.0,950.0,270.0,90.0
26,Workers' compensation benefits,#,2012,585220.0,7200.0,15450.0,31460.0,51610.0,65340.0,62330.0,59600.0,54570.0,45860.0,38160.0,30430.0,24880.0,34690.0,21850.0,14390.0,9640.0,14210.0,2850.0,700.0
27,Social assistance payments,#,2012,1462950.0,86670.0,366380.0,491790.0,287030.0,128930.0,46580.0,21690.0,11980.0,6730.0,4430.0,2870.0,1910.0,2230.0,1210.0,710.0,440.0,830.0,360.0,190.0
28,Net federal supplements,#,2012,1922710.0,23390.0,92140.0,359400.0,918260.0,371330.0,77730.0,32620.0,18420.0,10170.0,5310.0,3180.0,2180.0,2850.0,1560.0,970.0,620.0,1350.0,750.0,500.0
29,Total income assessed,#,2012,25326070.0,2353120.0,1788000.0,2242600.0,2481330.0,1914430.0,1563740.0,1512310.0,1448150.0,1361440.0,1147030.0,990550.0,854710.0,1393220.0,1063090.0,786950.0,596190.0,1170700.0,443160.0,215350.0
30,Registered pension plan contributions (RPP),#,2012,4615070.0,16760.0,31920.0,50890.0,75130.0,108890.0,154890.0,223380.0,305360.0,335260.0,343110.0,329130.0,315650.0,547760.0,476440.0,366600.0,297520.0,473990.0,124840.0,37560.0
31,RRSP deduction,#,2012,5933110.0,23680.0,27910.0,62260.0,115990.0,176010.0,233780.0,303000.0,367360.0,399860.0,403040.0,385100.0,356090.0,620140.0,529250.0,422960.0,341230.0,735670.0,293130.0,136660.0
32,Deduction for elected split-pension amount,#,2012,1135410.0,430.0,1480.0,4050.0,12860.0,58310.0,81990.0,94790.0,108630.0,109910.0,105550.0,90490.0,75230.0,110470.0,77050.0,50870.0,35130.0,74290.0,30180.0,13690.0
33,"Annual union, professional, or like dues",#,2012,5502340.0,111720.0,165690.0,197290.0,206980.0,233160.0,269320.0,318850.0,374380.0,382220.0,370210.0,343550.0,322300.0,548260.0,468540.0,352880.0,280120.0,424580.0,102320.0,29980.0
34,Universal Child Care Benefit repayment,#,2012,18060.0,3960.0,2210.0,2610.0,1710.0,1250.0,960.0,870.0,740.0,660.0,520.0,420.0,400.0,560.0,400.0,270.0,180.0,240.0,70.0,20.0
35,Child care expenses,#,2012,1243470.0,35400.0,49690.0,66270.0,80610.0,91710.0,99220.0,104060.0,104300.0,94250.0,81150.0,69770.0,58900.0,91990.0,67030.0,45750.0,32950.0,49660.0,15490.0,5270.0
36,Disability supports deductions,#,2012,1610.0,30.0,50.0,90.0,110.0,130.0,140.0,120.0,130.0,100.0,90.0,90.0,70.0,110.0,80.0,60.0,50.0,100.0,50.0,30.0
37,Business investment loss,#,2012,9800.0,280.0,190.0,230.0,310.0,390.0,440.0,480.0,490.0,490.0,520.0,500.0,460.0,750.0,670.0,570.0,450.0,1300.0,720.0,580.0
38,Moving expenses,#,2012,106760.0,2890.0,4790.0,6510.0,7640.0,8090.0,8030.0,7410.0,6740.0,6240.0,5590.0,5050.0,4660.0,7820.0,6170.0,4650.0,3570.0,7620.0,2590.0,730.0
39,Support payments made,#,2012,65310.0,330.0,410.0,660.0,1050.0,1500.0,1820.0,2220.0,2700.0,2880.0,2870.0,2850.0,2890.0,5410.0,5140.0,4530.0,4010.0,11720.0,6890.0,5440.0
40,Carrying charges and interest expenses,#,2012,2353030.0,28680.0,29400.0,53750.0,103630.0,135210.0,124780.0,133050.0,139250.0,145150.0,132000.0,119990.0,109260.0,193410.0,160180.0,128160.0,104720.0,261720.0,144290.0,106420.0
41,Deductions for CPP/QPP contributions on self-employment and other earnings,#,2012,1513840.0,27550.0,172580.0,228360.0,179860.0,143020.0,116450.0,97040.0,83640.0,76590.0,63260.0,47780.0,35570.0,51740.0,35780.0,26470.0,19290.0,50480.0,32840.0,25560.0
42,Deductions for provincial parental insurance plan (PPIP) premiums on self-emplo,#,2012,413090.0,14470.0,41990.0,61320.0,50690.0,39970.0,31620.0,25400.0,20960.0,18120.0,14910.0,12900.0,10790.0,16750.0,9570.0,6650.0,4750.0,12950.0,10400.0,8920.0
43,Exploration and development expenses,#,2012,74310.0,7180.0,440.0,360.0,570.0,820.0,880.0,1140.0,1310.0,1630.0,1750.0,1820.0,1710.0,3810.0,3760.0,3510.0,3140.0,11690.0,11460.0,17320.0
44,Other employment expenses,#,2012,792630.0,3250.0,5180.0,9700.0,16680.0,23980.0,30420.0,36360.0,41060.0,44140.0,47230.0,47370.0,45350.0,81890.0,67890.0,54520.0,46640.0,115750.0,51050.0,24190.0
45,Clergy residence deduction,#,2012,26400.0,50.0,140.0,270.0,480.0,860.0,1250.0,1880.0,1980.0,2280.0,2290.0,2370.0,2310.0,3920.0,2490.0,1450.0,840.0,1280.0,220.0,40.0
46,Other deductions,#,2012,766320.0,27330.0,30000.0,47530.0,66330.0,73080.0,68020.0,64650.0,58860.0,51470.0,41060.0,33160.0,27160.0,40930.0,29090.0,21100.0,16040.0,36170.0,19060.0,15290.0
47,Total deductions before adjustments,#,2012,13772340.0,260020.0,440110.0,588780.0,661270.0,763830.0,803970.0,884680.0,958550.0,958530.0,887640.0,796450.0,710590.0,1181490.0,942620.0,709690.0,548860.0,1073600.0,405890.0,195800.0
48,Social benefits repayment,#,2012,488770.0,,,,,,,,,,,,6160.0,51000.0,98650.0,75690.0,53900.0,121000.0,51060.0,31310.0
49,Net income after adjustments,#,2012,25228620.0,2262450.0,1785660.0,2241420.0,2480620.0,1913930.0,1563360.0,1512040.0,1447940.0,1361260.0,1146880.0,990410.0,854610.0,1393090.0,1062970.0,786870.0,596140.0,1170560.0,443090.0,215300.0
50,Canadian Forces personnel and police deduction,#,2012,3890.0,20.0,20.0,30.0,20.0,30.0,40.0,20.0,40.0,40.0,100.0,140.0,280.0,860.0,620.0,430.0,310.0,760.0,120.0,30.0
51,Employee home relocation loan deduction,#,2012,1320.0,,,,,,10.0,10.0,20.0,10.0,10.0,20.0,20.0,40.0,50.0,80.0,60.0,380.0,350.0,220.0
52,Security options deductions,#,2012,43170.0,70.0,90.0,180.0,250.0,380.0,390.0,420.0,500.0,600.0,650.0,730.0,790.0,1490.0,1540.0,1480.0,1650.0,8310.0,10500.0,13140.0
53,Other payments deductions,#,2012,3661690.0,115800.0,468090.0,823260.0,1111630.0,499880.0,170610.0,107970.0,81960.0,61110.0,46880.0,35890.0,28540.0,39270.0,24340.0,15880.0,10550.0,15780.0,3310.0,940.0
54,Limited partnership losses of other years,#,2012,1890.0,20.0,,,20.0,30.0,20.0,30.0,40.0,40.0,50.0,60.0,70.0,110.0,120.0,100.0,100.0,350.0,310.0,430.0
55,Non-capital losses of other years,#,2012,28800.0,910.0,490.0,2860.0,3840.0,3620.0,3070.0,2540.0,1950.0,1560.0,1230.0,1050.0,850.0,1220.0,800.0,600.0,470.0,940.0,440.0,390.0
56,Net capital losses of other years,#,2012,494880.0,2890.0,3100.0,6700.0,12410.0,21000.0,22490.0,25920.0,27570.0,30620.0,27490.0,25240.0,23270.0,43160.0,36220.0,28850.0,23780.0,64060.0,39060.0,31060.0
57,Capital gains deduction,#,2012,59970.0,380.0,310.0,660.0,1050.0,1520.0,1610.0,1750.0,1970.0,2120.0,2160.0,2160.0,2090.0,4560.0,3700.0,3120.0,2740.0,8680.0,8330.0,11050.0
58,Northern residents deductions,#,2012,248700.0,2390.0,2780.0,5890.0,10470.0,11950.0,12120.0,12420.0,12350.0,11760.0,11270.0,10780.0,10210.0,19290.0,17430.0,16420.0,14840.0,41610.0,20620.0,4120.0
59,Additional deductions,#,2012,196330.0,7440.0,8910.0,15240.0,30040.0,31270.0,18940.0,15430.0,12790.0,10600.0,7790.0,5590.0,4640.0,7360.0,4990.0,3220.0,2360.0,5370.0,2750.0,1590.0
60,Farming/fishing losses of prior years,#,2012,12110.0,200.0,140.0,660.0,930.0,1000.0,960.0,800.0,730.0,680.0,590.0,540.0,480.0,790.0,670.0,510.0,390.0,1080.0,550.0,420.0
61,Total deductions from net income,#,2012,4621330.0,129060.0,481280.0,846630.0,1142810.0,545780.0,220950.0,161200.0,134850.0,114890.0,94720.0,79150.0,68630.0,113670.0,86990.0,68090.0,55090.0,140820.0,80440.0,56300.0
62,Taxable income assessed,#,2012,24607360.0,2200900.0,1560640.0,2003040.0,2424290.0,1893590.0,1556210.0,1507970.0,1445200.0,1359460.0,1145680.0,989890.0,854310.0,1392680.0,1062700.0,786660.0,596000.0,1170150.0,442810.0,215180.0
63,Basic personal amount,#,2012,25412500.0,2456510.0,1785350.0,2240540.0,2479820.0,1913220.0,1562680.0,1511490.0,1447400.0,1360750.0,1146490.0,990060.0,854310.0,1392580.0,1062550.0,786540.0,595860.0,1169610.0,442240.0,214500.0
64,Age amount,#,2012,4944730.0,98450.0,154170.0,474520.0,1137740.0,698270.0,429910.0,386370.0,327280.0,297630.0,212130.0,164470.0,133550.0,213410.0,130710.0,47130.0,19940.0,16650.0,1620.0,790.0
65,Spouse or common-law partner amount,#,2012,2027520.0,111870.0,97910.0,150230.0,191260.0,185530.0,142050.0,123380.0,110520.0,96420.0,84000.0,74950.0,66930.0,114200.0,95340.0,77430.0,62470.0,147110.0,63940.0,32010.0
66,Amount for eligible dependant,#,2012,934370.0,67220.0,74550.0,106920.0,91280.0,77220.0,67550.0,63590.0,60010.0,51220.0,42900.0,35600.0,29480.0,45870.0,35100.0,24980.0,18900.0,29570.0,8910.0,3500.0
67,Amount for children 17 and under,#,2012,3622210.0,174050.0,138840.0,197660.0,196260.0,191930.0,189230.0,197180.0,204090.0,197330.0,182900.0,171140.0,157280.0,279140.0,242980.0,198920.0,163490.0,337920.0,135330.0,66550.0
68,Amount for infirm dependants age 18 or older,#,2012,17540.0,250.0,300.0,530.0,880.0,1200.0,1150.0,1250.0,1370.0,1290.0,1140.0,1020.0,840.0,1440.0,1170.0,860.0,640.0,1410.0,550.0,260.0
69,CPP or QPP contributions through employment,#,2012,14557290.0,212470.0,719370.0,902980.0,931640.0,963590.0,955160.0,982440.0,995390.0,944010.0,847400.0,753810.0,667100.0,1103300.0,883100.0,671540.0,521240.0,1000300.0,351970.0,150490.0
70,CPP or QPP contributions on self-employment and other earnings,#,2012,1513840.0,27550.0,172580.0,228360.0,179860.0,143020.0,116450.0,97040.0,83640.0,76590.0,63260.0,47780.0,35570.0,51740.0,35780.0,26470.0,19290.0,50480.0,32840.0,25560.0
71,Employment Insurance premiums,#,2012,14408460.0,468420.0,827910.0,914110.0,916560.0,940240.0,933250.0,955870.0,968920.0,916750.0,823060.0,727960.0,647820.0,1063880.0,847870.0,639500.0,495330.0,915770.0,296870.0,108370.0
72,Employment Insurance premiums on self-employment and other eligible earnings,#,2012,4990.0,,500.0,680.0,680.0,550.0,440.0,360.0,300.0,270.0,220.0,180.0,130.0,180.0,110.0,60.0,50.0,80.0,30.0,
73,PPIP premiums paid,#,2012,3650660.0,113760.0,205030.0,238580.0,246180.0,261260.0,269000.0,289070.0,295590.0,256860.0,220610.0,190710.0,163730.0,257920.0,199700.0,122850.0,84430.0,160790.0,50660.0,23950.0
74,PPIP premiums payable on employment income,#,2012,105170.0,2380.0,4930.0,5880.0,5400.0,5080.0,4840.0,5090.0,5100.0,5310.0,5960.0,6010.0,6110.0,10200.0,7720.0,6460.0,4990.0,9780.0,3160.0,790.0
75,PPIP premiums payable on self-employment income,#,2012,414290.0,14550.0,42070.0,61430.0,50810.0,40040.0,31700.0,25460.0,21030.0,18150.0,14970.0,12930.0,10840.0,16810.0,9650.0,6700.0,4780.0,13040.0,10420.0,8920.0
76,Volunteer firefighters' amount,#,2012,38750.0,660.0,620.0,870.0,1300.0,1720.0,2080.0,2750.0,2940.0,3100.0,2920.0,2680.0,2450.0,4180.0,3080.0,2270.0,1650.0,2880.0,550.0,70.0
77,Canada employment amount,#,2012,16726670.0,789800.0,967950.0,1064190.0,1045770.0,1076850.0,1064580.0,1097750.0,1110300.0,1055510.0,933650.0,822630.0,722460.0,1188370.0,937270.0,706570.0,544650.0,1051650.0,377540.0,169190.0
78,Public transit amount,#,2012,1650720.0,90680.0,103930.0,127680.0,128940.0,123790.0,112270.0,106400.0,102330.0,94310.0,84090.0,74210.0,65490.0,105890.0,82810.0,63310.0,47520.0,94890.0,31200.0,10990.0
79,Children's fitness amount,#,2012,1557140.0,20850.0,18160.0,29260.0,38850.0,47780.0,57190.0,67910.0,78070.0,82390.0,82200.0,81380.0,78690.0,148000.0,139350.0,120720.0,105180.0,220930.0,92970.0,47290.0
80,Children's arts amount,#,2012,536930.0,6830.0,5700.0,8930.0,11900.0,14870.0,17480.0,20350.0,23100.0,24440.0,24580.0,24680.0,24250.0,47390.0,47010.0,43330.0,39740.0,88880.0,41030.0,22440.0
81,Home buyers' amount,#,2012,180750.0,1720.0,1220.0,2420.0,4540.0,7500.0,10370.0,13640.0,15980.0,16480.0,15300.0,14340.0,12680.0,20810.0,14430.0,9350.0,6160.0,10670.0,2530.0,630.0
82,Adoption expenses,#,2012,2220.0,20.0,20.0,30.0,50.0,80.0,80.0,110.0,120.0,120.0,130.0,120.0,110.0,200.0,190.0,190.0,150.0,320.0,140.0,70.0
83,Pension income amount,#,2012,4574520.0,25200.0,57290.0,169070.0,451310.0,603300.0,445810.0,432160.0,390850.0,382530.0,282670.0,221070.0,181650.0,284220.0,182570.0,118940.0,79840.0,162130.0,68080.0,35830.0
84,Caregiver amount,#,2012,216330.0,4050.0,3850.0,6170.0,9720.0,12970.0,14400.0,16230.0,16870.0,16150.0,14960.0,12890.0,11300.0,18080.0,14030.0,11080.0,8600.0,17340.0,5550.0,2090.0
85,Disability amount,#,2012,591320.0,27410.0,45180.0,85670.0,81480.0,73610.0,55330.0,47070.0,37660.0,30820.0,21900.0,16690.0,12870.0,18530.0,11200.0,6890.0,4450.0,8670.0,3650.0,2260.0
86,Disability amount transferred from a dependant,#,2012,200810.0,5740.0,4540.0,6700.0,8740.0,9980.0,11170.0,12570.0,13680.0,13470.0,12740.0,11420.0,10270.0,17210.0,14380.0,11320.0,9050.0,18120.0,6700.0,3020.0
87,Interest paid on student loans,#,2012,600420.0,4050.0,3900.0,12370.0,29210.0,41950.0,50690.0,57440.0,59090.0,53830.0,47590.0,41230.0,35820.0,56560.0,39170.0,24240.0,15030.0,21510.0,5260.0,1500.0
88,"Tuition, education, and textbook amounts",#,2012,1639220.0,420.0,860.0,171450.0,283110.0,208960.0,165310.0,137300.0,113420.0,94570.0,76480.0,63600.0,54430.0,84040.0,58630.0,39830.0,27690.0,44140.0,11180.0,3820.0
89,"Tuition, education, and textbook amounts transferred from a child",#,2012,694350.0,580.0,560.0,2460.0,8740.0,16410.0,22500.0,29060.0,34790.0,38170.0,38080.0,37070.0,35910.0,65480.0,63910.0,55950.0,49660.0,114430.0,51490.0,29100.0
90,Amounts transferred from spouse or common-law partner,#,2012,1197300.0,152040.0,70790.0,165520.0,164730.0,139000.0,101660.0,79350.0,61200.0,43760.0,32650.0,26090.0,21920.0,34390.0,25470.0,19140.0,14430.0,29920.0,10800.0,4430.0
91,Medical expenses,#,2012,4319290.0,95620.0,116420.0,221660.0,459320.0,557550.0,482280.0,452820.0,395930.0,337620.0,238670.0,181050.0,139320.0,196980.0,122330.0,73670.0,50700.0,110430.0,52230.0,34700.0
92,Total tax credits on personal amounts,#,2012,25420270.0,2457530.0,1786380.0,2241250.0,2480400.0,1913720.0,1563100.0,1511850.0,1447720.0,1361060.0,1146700.0,990260.0,854470.0,1392840.0,1062750.0,786700.0,595990.0,1170070.0,442600.0,214890.0
93,Allowable charitable donations and government gifts,#,2012,5661940.0,11220.0,17520.0,57640.0,162350.0,285170.0,317600.0,366630.0,389890.0,398770.0,366240.0,336640.0,308100.0,532580.0,440370.0,353110.0,287380.0,613330.0,266460.0,150960.0
94,Eligible cultural and ecological gifts,#,2012,8240.0,90.0,100.0,250.0,480.0,620.0,580.0,600.0,620.0,590.0,550.0,440.0,440.0,690.0,510.0,400.0,300.0,610.0,250.0,130.0
95,Total tax credit on donations and gifts,#,2012,5621740.0,10330.0,16580.0,56120.0,159110.0,281370.0,313940.0,363000.0,386290.0,395490.0,363450.0,334270.0,306120.0,529710.0,438360.0,351890.0,286580.0,612060.0,266200.0,150890.0
96,Total federal non-refundable tax credits,#,2012,25421070.0,2457630.0,1786460.0,2241330.0,2480450.0,1913750.0,1563220.0,1511890.0,1447750.0,1361100.0,1146750.0,990300.0,854480.0,1392850.0,1062760.0,786700.0,595990.0,1170090.0,442620.0,214950.0
97,Federal dividend tax credit,#,2012,3521780.0,10510.0,8370.0,45460.0,88060.0,158280.0,177520.0,206760.0,223400.0,245750.0,215760.0,198520.0,180430.0,324610.0,264540.0,210880.0,168300.0,422050.0,225550.0,147040.0
98,Overseas employment tax credit,#,2012,6010.0,,,20.0,50.0,60.0,60.0,60.0,60.0,90.0,100.0,120.0,120.0,250.0,290.0,310.0,380.0,1720.0,1720.0,620.0
99,Minimum tax carryover,#,2012,44510.0,,,320.0,770.0,1380.0,1640.0,1800.0,1860.0,2090.0,1840.0,1760.0,1670.0,3630.0,3260.0,2740.0,2230.0,7670.0,5980.0,3880.0
100,Basic federal tax,#,2012,15972190.0,9570.0,15550.0,308240.0,752870.0,1131650.0,1227770.0,1339070.0,1349640.0,1300620.0,1108630.0,962450.0,838950.0,1374340.0,1054840.0,782680.0,593650.0,1166190.0,441190.0,214300.0
101,Federal Foreign Tax Credit,#,2012,1114640.0,130.0,230.0,5240.0,16730.0,34420.0,44860.0,56370.0,63130.0,71940.0,64530.0,59200.0,55210.0,102020.0,87430.0,70520.0,58260.0,154090.0,95140.0,75200.0
102,Federal Political contribution tax credit,#,2012,145510.0,,,390.0,1230.0,3990.0,5570.0,7450.0,8470.0,9710.0,8890.0,8400.0,8110.0,14770.0,12060.0,9560.0,7740.0,19280.0,10950.0,8960.0
103,Investment Tax Credit,#,2012,40070.0,,,400.0,710.0,860.0,1020.0,1180.0,1140.0,1280.0,1280.0,1240.0,1160.0,2280.0,2140.0,1970.0,1800.0,6260.0,6080.0,9270.0
104,Labour-sponsored funds tax credit,#,2012,336090.0,20.0,20.0,370.0,2350.0,5820.0,10820.0,18370.0,27300.0,27660.0,28210.0,26950.0,25560.0,43020.0,37580.0,23720.0,16800.0,31780.0,7840.0,1890.0
105,Alternative minimum tax payable,#,2012,34400.0,70.0,20.0,20.0,20.0,20.0,30.0,40.0,40.0,40.0,70.0,60.0,120.0,440.0,1400.0,2910.0,3130.0,11930.0,7230.0,6830.0
106,Net federal tax,#,2012,15928380.0,9680.0,15690.0,305210.0,748350.0,1124460.0,1223360.0,1335520.0,1346710.0,1298160.0,1106630.0,960780.0,837520.0,1372000.0,1053180.0,781430.0,592640.0,1163670.0,439820.0,213580.0
107,CPP contributions on self-employment,#,2012,1148600.0,20630.0,136380.0,171580.0,132630.0,105570.0,86580.0,73080.0,63850.0,59520.0,49340.0,37680.0,28270.0,41040.0,28260.0,20790.0,15100.0,38470.0,22910.0,16930.0
108,Employment Insurance premiums payable on self-employment,#,2012,4990.0,,500.0,680.0,680.0,550.0,440.0,360.0,300.0,270.0,220.0,180.0,130.0,180.0,110.0,60.0,50.0,80.0,30.0,
109,Social Benefits repayment,#,2012,488770.0,,,,,,,,,,,,6160.0,51000.0,98650.0,75690.0,53900.0,121000.0,51060.0,31310.0
110,Net Provincial Tax,#,2012,12029270.0,5850.0,15220.0,85610.0,389890.0,884630.0,954370.0,995040.0,992350.0,971540.0,835200.0,728040.0,638460.0,1062740.0,821040.0,636280.0,493190.0,969830.0,371610.0,178390.0
111,Total tax payable,#,2012,16944170.0,32160.0,157690.0,461550.0,855100.0,1329180.0,1358770.0,1416180.0,1397090.0,1332050.0,1129100.0,978330.0,847420.0,1384500.0,1059460.0,785040.0,595070.0,1168450.0,442070.0,214950.0
112,Number of taxable returns,#,2011,17429010.0,39800.0,185610.0,559100.0,966160.0,1433050.0,1444480.0,1486360.0,1445000.0,1357270.0,1143040.0,989690.0,849000.0,1385860.0,1061130.0,778850.0,573360.0,1105540.0,413720.0,212010.0
113,Number of non-taxable returns,#,2011,8904930.0,2689390.0,1785790.0,1933640.0,1561560.0,525350.0,190250.0,89750.0,47750.0,27430.0,17390.0,10930.0,6870.0,8150.0,3660.0,1870.0,1110.0,2430.0,1180.0,440.0
114,Total number of returns,#,2011,26333940.0,2729190.0,1971390.0,2492740.0,2527720.0,1958400.0,1634730.0,1576110.0,1492750.0,1384700.0,1160440.0,1000620.0,855870.0,1394010.0,1064790.0,780730.0,574460.0,1107970.0,414890.0,212450.0
115,Employment income,#,2011,17311520.0,1503610.0,1034160.0,1126820.0,1099500.0,1103620.0,1073320.0,1089420.0,1088160.0,1021770.0,905660.0,802280.0,701650.0,1158070.0,923520.0,689170.0,515340.0,971790.0,342050.0,161610.0
116,Commissions (from employment),#,2011,509970.0,10240.0,22410.0,30760.0,32660.0,33440.0,32770.0,31380.0,30410.0,28410.0,25860.0,23400.0,20790.0,34620.0,27010.0,21410.0,17000.0,47030.0,25920.0,14440.0
117,Other employment income,#,2011,2318870.0,62260.0,80380.0,94910.0,97190.0,115630.0,131150.0,150690.0,159900.0,160200.0,142560.0,126970.0,114360.0,199820.0,164160.0,119800.0,88030.0,195190.0,77660.0,38020.0
