,item,type,tax_year,< $0,$1 - 10k,$10k - 15k,$15k - 20k,$20k - 25k,$25k - 30k,$30k - 35k,$35k - 40k,$40k - 45k,$45k - 50k,$50k - 60k,$60k - 70k,$70k - 80k,$80k - 90k,$90k - 100k,$100k - 150k,$150k - 250k,> $250k
16,RRSP income,#,2008,7830.0,127140.0,101980.0,114430.0,110680.0,120950.0,142140.0,155560.0,142950.0,126410.0,208480.0,161210.0,110440.0,80050.0,54140.0,98240.0,30000.0,10600.0
17,net business income,#,2008,55640.0,337390.0,243200.0,196730.0,149510.0,125920.0,112280.0,101040.0,89460.0,71430.0,112880.0,81550.0,59870.0,43180.0,29960.0,60660.0,25150.0,15580.0
18,net professional income,#,2008,6030.0,33320.0,22370.0,19410.0,15840.0,13110.0,12960.0,13870.0,10130.0,12100.0,19560.0,20120.0,18160.0,14410.0,12460.0,35490.0,33590.0,30310.0
19,net commission income,#,2008,4880.0,24430.0,17700.0,16010.0,16340.0,12520.0,11310.0,9510.0,7790.0,7050.0,12480.0,8580.0,8120.0,5050.0,4170.0,9830.0,5260.0,2210.0
20,net farming income,#,2008,15350.0,46120.0,31650.0,34400.0,26230.0,22640.0,24830.0,24590.0,19230.0,15920.0,24400.0,18980.0,13460.0,11570.0,8420.0,18030.0,9020.0,6000.0
21,net fishing income,#,2008,330.0,3920.0,4830.0,3790.0,3480.0,4170.0,2970.0,2220.0,1540.0,1700.0,2170.0,1030.0,740.0,670.0,260.0,570.0,180.0,90.0
22,tax-exempt income,#,2008,2700.0,639270.0,1079490.0,932270.0,367360.0,154250.0,111140.0,83220.0,67260.0,45960.0,70250.0,43390.0,24530.0,13680.0,7350.0,12990.0,2600.0,1070.0
23,other income,#,2008,18560.0,476570.0,355020.0,410200.0,350410.0,302000.0,338920.0,359040.0,258160.0,242680.0,370480.0,300930.0,235210.0,186880.0,125780.0,284420.0,140730.0,104040.0
24,total income assessed,#,2008,89770.0,3811740.0,2597000.0,2443640.0,1820630.0,1547270.0,1579550.0,1515940.0,1291870.0,1090480.0,1720040.0,1271810.0,947470.0,693330.0,452950.0,889780.0,338620.0,188030.0
25,Registered Pension Plan contributions,#,2008,1460.0,62750.0,66760.0,105530.0,139260.0,191400.0,285400.0,338450.0,362910.0,355470.0,644030.0,540710.0,426450.0,338360.0,199460.0,319710.0,81940.0,26660.0
26,RRSP deduction,#,2008,5770.0,65560.0,98060.0,181540.0,255470.0,319410.0,395330.0,459920.0,471410.0,442870.0,788480.0,631110.0,526630.0,413740.0,283640.0,595620.0,229510.0,126240.0
27,deduction for elected split-pension amount,#,2008,150.0,1470.0,3240.0,17380.0,61080.0,72850.0,92960.0,107850.0,93850.0,85250.0,126950.0,89570.0,59940.0,39840.0,26260.0,52170.0,22350.0,9990.0
28,"annual union, professional, or like dues",#,2008,6760.0,340580.0,237750.0,255280.0,270900.0,326120.0,376830.0,414000.0,418520.0,380580.0,678470.0,546360.0,431600.0,331000.0,191160.0,296190.0,74960.0,24690.0
29,child care expenses,#,2008,2130.0,86270.0,77170.0,88500.0,101820.0,111570.0,118030.0,104530.0,90590.0,77890.0,112440.0,71360.0,54270.0,35940.0,21550.0,33220.0,10590.0,4350.0
30,carrying charges and interest expenses,#,2008,6870.0,79710.0,78970.0,149800.0,157230.0,139780.0,171140.0,180890.0,162400.0,152640.0,252550.0,211090.0,177980.0,141270.0,102770.0,248780.0,126890.0,101720.0
31,CPP or QPP contributions on self-employment,#,2008,1690.0,188230.0,210530.0,164920.0,131880.0,106360.0,95830.0,87870.0,68540.0,52390.0,69380.0,46060.0,32050.0,23350.0,17200.0,45180.0,34880.0,27680.0
32,other employment expenses,#,2008,1040.0,9750.0,10920.0,22230.0,27140.0,35880.0,45760.0,53990.0,53100.0,55640.0,105700.0,83700.0,69350.0,56780.0,41280.0,97680.0,43080.0,21500.0
33,other deductions,#,2008,8060.0,142020.0,136950.0,154540.0,131250.0,118190.0,118300.0,106920.0,87080.0,76210.0,115170.0,86110.0,62240.0,45140.0,32560.0,80910.0,52570.0,45630.0
34,social benefits repayment,#,2008,0.0,0.0,230.0,0.0,0.0,0.0,200.0,220.0,30.0,0.0,39000.0,77220.0,86160.0,61450.0,40380.0,81500.0,36920.0,24890.0
35,total deductions before adjustments,#,2008,28560.0,789200.0,680640.0,801310.0,868110.0,901950.0,1022120.0,1073020.0,991530.0,882210.0,1472550.0,1138850.0,880410.0,654620.0,425930.0,834110.0,318110.0,177100.0
36,net income after adjustments,#,2008,0.0,3782730.0,2593690.0,2441660.0,1819850.0,1545740.0,1577700.0,1514220.0,1290610.0,1089850.0,1718940.0,1271660.0,947070.0,693220.0,452910.0,889490.0,338570.0,187930.0
37,capital gains deduction,#,2008,0.0,810.0,2630.0,1140.0,2610.0,1910.0,2630.0,2720.0,2730.0,1720.0,4610.0,5120.0,3100.0,3440.0,1860.0,8170.0,7450.0,10740.0
38,losses from other years,#,2008,1030.0,6150.0,11890.0,14860.0,16060.0,12690.0,16080.0,19740.0,12670.0,13470.0,24500.0,22420.0,15920.0,13190.0,13400.0,30900.0,17630.0,14380.0
39,additional deductions,#,2008,3150.0,651320.0,1095650.0,948750.0,395890.0,185830.0,144940.0,107500.0,88880.0,65050.0,104310.0,75320.0,50790.0,35890.0,25560.0,56960.0,27570.0,17360.0
40,total deductions from net income,#,2008,4090.0,656930.0,1108760.0,965360.0,411810.0,198570.0,162400.0,128830.0,103380.0,79340.0,130440.0,100660.0,68120.0,51590.0,40050.0,93380.0,50180.0,39060.0
41,taxable income assessed,#,2008,0.0,3493150.0,2355640.0,2403630.0,1803610.0,1538930.0,1572220.0,1512630.0,1287990.0,1089480.0,1715970.0,1271540.0,946710.0,693190.0,452880.0,889000.0,338230.0,187780.0
42,age amount,#,2008,34440.0,236910.0,674150.0,962090.0,525950.0,342870.0,346990.0,300530.0,204820.0,166810.0,220840.0,148310.0,42690.0,16570.0,7410.0,5650.0,670.0,330.0
43,other federal non-refundable tax credits,#,2008,746150.0,3799370.0,2593760.0,2441410.0,1819340.0,1546400.0,1578740.0,1515220.0,1291570.0,1089840.0,1718980.0,1270990.0,946660.0,692970.0,452510.0,888260.0,337620.0,187000.0
44,CPP or QPP contributions,#,2008,19240.0,1199720.0,1161070.0,1174010.0,1109020.0,1074470.0,1103510.0,1093530.0,1000770.0,849160.0,1407720.0,1057120.0,817350.0,615140.0,402890.0,781790.0,287150.0,150940.0
45,EI premiums,#,2008,35860.0,1475330.0,1041370.0,1058530.0,1007640.0,994880.0,1042150.0,1026110.0,949110.0,807280.0,1333450.0,999310.0,764690.0,575270.0,368390.0,676210.0,213870.0,89090.0
46,PPIP premiums paid,#,2008,5430.0,402310.0,311040.0,332430.0,305620.0,308010.0,319870.0,312750.0,262120.0,211010.0,347290.0,242620.0,171730.0,109790.0,73410.0,130650.0,48330.0,26190.0
47,Canada employment amount,#,2008,29370.0,2059690.0,1204510.0,1200710.0,1142190.0,1105160.0,1179010.0,1161280.0,1067270.0,901710.0,1477520.0,1103950.0,843660.0,628320.0,410770.0,791650.0,282790.0,147640.0
48,public transit amount,#,2008,12540.0,156550.0,127070.0,124760.0,116430.0,98400.0,101410.0,100330.0,86980.0,78380.0,126700.0,92250.0,68080.0,48220.0,36480.0,68060.0,22390.0,8030.0
49,children's fitness amount,#,2008,3960.0,31170.0,34850.0,43250.0,49580.0,67870.0,74070.0,92210.0,84080.0,88430.0,164350.0,143360.0,128730.0,108990.0,76240.0,163950.0,70290.0,41430.0
50,pension income amount,#,2008,4100.0,96750.0,190900.0,518030.0,490480.0,382140.0,415930.0,398860.0,282350.0,242860.0,326870.0,234770.0,148930.0,95560.0,59020.0,120360.0,50280.0,27980.0
51,disability amount,#,2008,6990.0,65410.0,114680.0,155790.0,92640.0,67970.0,60490.0,55830.0,42220.0,36890.0,58630.0,35120.0,26170.0,19100.0,12580.0,25390.0,9040.0,4690.0
52,"tuition, education, textbook amounts and interest on student loans",#,2008,2070.0,22620.0,295030.0,314940.0,238210.0,223290.0,212650.0,196170.0,176760.0,153240.0,247180.0,178970.0,144220.0,106730.0,69820.0,133580.0,50570.0,28670.0
53,amounts transferred from spouse or common-law partner,#,2008,52170.0,154830.0,157990.0,179060.0,128100.0,81020.0,60700.0,49140.0,31820.0,28460.0,39230.0,29110.0,20470.0,15980.0,10230.0,20100.0,7640.0,3330.0
54,medical expenses,#,2008,23390.0,173760.0,264880.0,551410.0,525540.0,425210.0,403050.0,343440.0,247680.0,186660.0,241740.0,144810.0,88390.0,57970.0,36380.0,82530.0,36980.0,27500.0
55,total tax credits on personal amounts,#,2008,746410.0,3802020.0,2594420.0,2442100.0,1819750.0,1546660.0,1578830.0,1515440.0,1291670.0,1090190.0,1719330.0,1271210.0,947020.0,693050.0,452630.0,888880.0,337860.0,187430.0
56,donations and gifts,#,2008,0.0,36220.0,103610.0,255990.0,341640.0,365830.0,437620.0,450280.0,412740.0,381720.0,659750.0,542920.0,442550.0,359530.0,244250.0,508410.0,222410.0,137830.0
57,total tax credit on donations and gifts,#,2008,0.0,33210.0,99650.0,250740.0,336320.0,359860.0,433720.0,444950.0,409160.0,377890.0,654440.0,539010.0,440080.0,357640.0,243360.0,506710.0,222130.0,137690.0
58,total federal non-refundable tax credits,#,2008,746410.0,3802160.0,2594440.0,2442140.0,1819830.0,1546740.0,1578870.0,1515490.0,1291670.0,1090230.0,1719350.0,1271210.0,947040.0,693050.0,452640.0,888920.0,337860.0,187480.0
59,federal dividend tax credit,#,2008,7710.0,180210.0,162050.0,218230.0,219280.0,194660.0,233850.0,251090.0,213200.0,207870.0,338990.0,285920.0,230070.0,186820.0,136740.0,320960.0,164330.0,121340.0
60,basic federal tax,#,2008,0.0,46340.0,600760.0,1085450.0,1319520.0,1346930.0,1477600.0,1458600.0,1252860.0,1071030.0,1697440.0,1265420.0,942490.0,691610.0,452170.0,886530.0,337670.0,187490.0
61,net federal tax,#,2008,0.0,46120.0,569320.0,1049600.0,1304250.0,1334960.0,1469640.0,1453730.0,1249210.0,1069190.0,1692880.0,1262830.0,940550.0,690340.0,451100.0,884040.0,336530.0,186940.0
62,CPP contributions on self-employment,#,2008,1040.0,160610.0,166490.0,120530.0,100890.0,84420.0,77000.0,69830.0,54480.0,41600.0,54880.0,35680.0,24670.0,18200.0,13280.0,34450.0,23150.0,19110.0
63,net provincial or territorial tax,#,2008,0.0,32690.0,237800.0,743290.0,1016680.0,1000220.0,1094300.0,1072950.0,941660.0,817590.0,1294400.0,988370.0,752030.0,571110.0,372580.0,743130.0,283130.0,158170.0
64,total tax payable,#,2008,1040.0,220970.0,739950.0,1271730.0,1471790.0,1425880.0,1515130.0,1479760.0,1268180.0,1079010.0,1703350.0,1267540.0,943150.0,692230.0,452510.0,887140.0,338030.0,187660.0
65,number of taxable returns,#,2004,770.0,479800.0,1191780.0,1700200.0,1641960.0,1550620.0,1481960.0,1322330.0,1133640.0,945130.0,1435640.0,1031560.0,707170.0,426600.0,276940.0,519730.0,202690.0,124140.0
66,number of non-taxable returns,#,2004,960320.0,3966970.0,1573900.0,603860.0,125310.0,51010.0,27750.0,17330.0,9930.0,5080.0,6660.0,2430.0,1540.0,770.0,330.0,850.0,740.0,240.0
67,total number of returns,#,2004,961090.0,4446770.0,2765680.0,2304060.0,1767270.0,1601630.0,1509720.0,1339660.0,1143560.0,950210.0,1442310.0,1033990.0,708710.0,427380.0,277270.0,520570.0,203430.0,124380.0
68,employment income,#,2004,14840.0,2301890.0,1279230.0,1211100.0,1161680.0,1144090.0,1140260.0,1056010.0,927380.0,787380.0,1213260.0,901390.0,627710.0,376650.0,243030.0,440020.0,153610.0,90560.0
69,commissions (from employment),#,2004,390.0,49920.0,32220.0,29160.0,31260.0,30020.0,28540.0,26700.0,26220.0,21280.0,36600.0,25530.0,21340.0,15040.0,12390.0,30680.0,15340.0,8520.0
70,other employment income,#,2004,3290.0,237090.0,132790.0,121990.0,134680.0,142310.0,154210.0,153930.0,139380.0,124330.0,205390.0,153300.0,115400.0,76980.0,53310.0,112440.0,45640.0,29890.0
71,Old Age Security Pension,#,2004,3470.0,345110.0,912230.0,812050.0,427030.0,326070.0,253970.0,188390.0,147340.0,108970.0,159690.0,95080.0,56990.0,32400.0,20500.0,46400.0,23080.0,15650.0
72,CPP or QPP benefits,#,2004,6950.0,586860.0,949530.0,914590.0,526750.0,415240.0,340720.0,263870.0,212590.0,164510.0,232910.0,139530.0,83700.0,47690.0,30400.0,65410.0,31710.0,20470.0
73,other pensions or superannuation,#,2004,870.0,71020.0,150320.0,380040.0,343260.0,305670.0,269960.0,228630.0,195110.0,151280.0,216640.0,132370.0,77000.0,45170.0,30020.0,62400.0,24560.0,11930.0
74,EI benefits,#,2004,2360.0,245550.0,325840.0,358650.0,323690.0,284470.0,228410.0,167350.0,122160.0,89210.0,107870.0,57560.0,30100.0,15980.0,7740.0,9590.0,1490.0,460.0
75,taxable amount of dividends,#,2004,8990.0,240090.0,196810.0,226810.0,206250.0,218350.0,220780.0,213970.0,197790.0,175330.0,292330.0,237250.0,181520.0,125440.0,92070.0,208920.0,103890.0,79830.0
76,interest and other investment income,#,2004,18790.0,854960.0,635410.0,704420.0,540820.0,489650.0,459230.0,421490.0,377230.0,314350.0,502680.0,374020.0,275860.0,175350.0,121760.0,256570.0,123450.0,96170.0
77,annuity income,#,2004,620.0,51200.0,125300.0,230730.0,198980.0,177040.0,143010.0,115080.0,92300.0,68500.0,100990.0,62070.0,37180.0,21120.0,13180.0,29500.0,14870.0,9700.0
78,net rental income,#,2004,14230.0,113200.0,82190.0,101940.0,95550.0,88900.0,90220.0,78120.0,74320.0,65820.0,105240.0,81300.0,56150.0,39060.0,25610.0,54910.0,25640.0,19870.0
79,taxable capital gains,#,2004,7420.0,176200.0,118510.0,127770.0,123190.0,125850.0,116360.0,114680.0,107720.0,94140.0,163300.0,132960.0,102860.0,75500.0,55770.0,131550.0,69160.0,59150.0
80,RRSP income,#,2004,4890.0,145120.0,104150.0,119790.0,120150.0,130570.0,143070.0,135120.0,123900.0,112810.0,165750.0,114360.0,76130.0,43570.0,27220.0,45650.0,14060.0,5250.0
81,net business income,#,2004,55190.0,371950.0,219570.0,185150.0,144530.0,116830.0,102940.0,89860.0,77440.0,59270.0,90970.0,63450.0,44530.0,26610.0,18050.0,39140.0,16380.0,10840.0
82,net professional income,#,2004,3890.0,36660.0,21940.0,20560.0,19050.0,17530.0,15560.0,14180.0,13420.0,13710.0,21850.0,19480.0,17280.0,13760.0,11240.0,34850.0,31740.0,27630.0
83,net commission income,#,2004,2440.0,25570.0,13200.0,10230.0,12100.0,8830.0,8240.0,7980.0,6420.0,4620.0,8590.0,6620.0,5060.0,3630.0,2810.0,5940.0,2820.0,1290.0
84,net farming income,#,2004,15750.0,67500.0,48310.0,38340.0,31240.0,26900.0,25880.0,21560.0,19170.0,16660.0,23620.0,17710.0,12420.0,7670.0,5270.0,10700.0,5400.0,3650.0
85,net fishing income,#,2004,640.0,2940.0,4440.0,4560.0,4470.0,3720.0,3360.0,3100.0,1590.0,1390.0,2150.0,1090.0,820.0,510.0,310.0,560.0,160.0,80.0
86,tax-exempt income,#,2004,2560.0,968840.0,1061780.0,725340.0,200840.0,121760.0,92270.0,69490.0,48160.0,35820.0,49820.0,26860.0,17050.0,9030.0,4700.0,6410.0,1610.0,620.0
87,other income,#,2004,13480.0,522990.0,306050.0,267870.0,242200.0,224680.0,212800.0,191050.0,167700.0,150650.0,234960.0,182850.0,134370.0,89270.0,62700.0,145380.0,77440.0,61850.0
88,total income assessed,#,2004,83930.0,4446770.0,2765680.0,2304060.0,1767270.0,1601630.0,1509720.0,1339660.0,1143560.0,950210.0,1442310.0,1033990.0,708710.0,427380.0,277270.0,520570.0,203430.0,124380.0
89,Registered Pension Plan contributions,#,2004,4660.0,65700.0,74560.0,121240.0,179290.0,258710.0,352540.0,382800.0,378750.0,353430.0,595320.0,479390.0,339510.0,187400.0,109540.0,171480.0,41690.0,14650.0
90,RRSP deduction,#,2004,4420.0,89760.0,164300.0,254620.0,336910.0,409790.0,491920.0,530880.0,508390.0,464420.0,752160.0,597050.0,436250.0,282350.0,192570.0,363930.0,144140.0,89340.0
91,"annual union, professional, or like dues",#,2004,7590.0,361140.0,258300.0,280880.0,328290.0,384850.0,447460.0,450110.0,427820.0,378020.0,631030.0,497260.0,345740.0,185760.0,104480.0,155730.0,36800.0,14530.0
92,child care expenses,#,2004,780.0,100280.0,94120.0,110790.0,116160.0,116680.0,115170.0,102830.0,79960.0,64340.0,88970.0,58740.0,33730.0,19180.0,11500.0,18620.0,6190.0,2850.0
93,carrying charges and interest expenses,#,2004,4590.0,88580.0,112770.0,188200.0,172880.0,182290.0,179270.0,173630.0,158600.0,142270.0,241040.0,199330.0,153110.0,102800.0,77690.0,171030.0,85770.0,68970.0
94,CPP or QPP contributions on self-employment,#,2004,1010.0,239030.0,195820.0,163330.0,127220.0,100410.0,90080.0,77450.0,57400.0,39670.0,55550.0,35810.0,25980.0,18760.0,14790.0,37990.0,31360.0,24240.0
95,other employment expenses,#,2004,1230.0,13800.0,22670.0,31310.0,41080.0,50470.0,52190.0,55150.0,58330.0,60380.0,106600.0,75960.0,58980.0,39340.0,30810.0,63230.0,27340.0,14290.0
96,clergy residence deduction,#,2004,0.0,80.0,260.0,1170.0,1940.0,2530.0,2720.0,2130.0,3280.0,2790.0,4190.0,2860.0,1360.0,790.0,320.0,390.0,60.0,30.0
97,other deductions,#,2004,8140.0,105630.0,99870.0,108630.0,101430.0,99050.0,84420.0,71270.0,56320.0,47580.0,75100.0,54070.0,40090.0,29820.0,19530.0,46980.0,27570.0,27540.0
98,total deductions before adjustments,#,2004,28020.0,902130.0,781690.0,909990.0,936040.0,993820.0,1054120.0,1019710.0,911370.0,790270.0,1249590.0,934440.0,655500.0,398690.0,258920.0,485750.0,189240.0,115220.0
99,Net income before adjustments,#,2004,0.0,210.0,110.0,0.0,50.0,320.0,360.0,0.0,190.0,1940.0,45490.0,111040.0,72310.0,41110.0,24470.0,49990.0,23000.0,15560.0
100,social benefits repayment,#,2004,0.0,4418690.0,2761960.0,2302270.0,1765850.0,1600290.0,1508750.0,1338930.0,1143000.0,950010.0,1441740.0,1033640.0,708540.0,427220.0,277150.0,520460.0,203250.0,124330.0
101,net income after adjustments,#,2004,50.0,1310.0,3440.0,2830.0,3250.0,2790.0,3110.0,2850.0,3040.0,3140.0,5210.0,4000.0,3810.0,2690.0,2240.0,6830.0,6630.0,6260.0
102,capital gains deduction,#,2004,860.0,15840.0,25980.0,32610.0,33980.0,32780.0,31810.0,30600.0,28990.0,28000.0,46580.0,38520.0,30170.0,22600.0,17720.0,43540.0,23950.0,22010.0
103,additional deductions,#,2004,3110.0,988620.0,1086080.0,753750.0,235030.0,151080.0,120680.0,95240.0,70270.0,53350.0,84750.0,55570.0,40530.0,27090.0,16890.0,37730.0,17220.0,14750.0
104,total deductions from net income,#,2004,4010.0,1005310.0,1112460.0,782480.0,266630.0,183750.0,152640.0,126240.0,99560.0,82230.0,132080.0,95800.0,72110.0,50540.0,35380.0,83460.0,44450.0,38420.0
105,taxable income assessed,#,2004,0.0,3925950.0,2616040.0,2269630.0,1755290.0,1595000.0,1505430.0,1336530.0,1141250.0,949180.0,1441110.0,1033430.0,708310.0,427000.0,277050.0,520100.0,202870.0,124230.0
106,basic personal amount,#,2004,951790.0,4438150.0,2763860.0,2303000.0,1766590.0,1600420.0,1509230.0,1339150.0,1143140.0,949880.0,1441860.0,1033610.0,708440.0,427080.0,277010.0,519630.0,202590.0,123650.0
107,age amount,#,2004,33400.0,391890.0,924550.0,820810.0,431820.0,328150.0,257010.0,190530.0,149510.0,110180.0,105690.0,7400.0,1740.0,800.0,540.0,1010.0,460.0,170.0
108,spouse or common-law partner amount,#,2004,74840.0,354130.0,311210.0,294110.0,255220.0,231690.0,217960.0,189400.0,162490.0,135650.0,210750.0,162920.0,113920.0,76850.0,50220.0,96400.0,35940.0,20840.0
109,CPP or QPP contributions,#,2004,21420.0,1903150.0,1341600.0,1272850.0,1205510.0,1164250.0,1157050.0,1066330.0,930500.0,789380.0,1219700.0,905880.0,633530.0,384440.0,249840.0,458330.0,171390.0,102400.0
110,EI premiums,#,2004,32520.0,1649420.0,1151350.0,1115810.0,1081300.0,1069880.0,1062740.0,987930.0,859480.0,738040.0,1140430.0,842540.0,586660.0,346130.0,219370.0,379910.0,115030.0,55480.0
111,pension income amount,#,2004,1390.0,95190.0,237420.0,521600.0,420800.0,362200.0,304220.0,253120.0,214170.0,164210.0,236430.0,145460.0,85800.0,50420.0,33060.0,70840.0,30650.0,16940.0
112,caregiver amount,#,2004,580.0,6380.0,8110.0,11390.0,12650.0,14770.0,15200.0,11220.0,11850.0,9390.0,11610.0,10090.0,6320.0,4160.0,2800.0,5310.0,1720.0,820.0
113,disability amount,#,2004,5210.0,69050.0,73740.0,78100.0,51760.0,37500.0,33940.0,28980.0,23050.0,17420.0,23870.0,14780.0,11990.0,7170.0,4020.0,8600.0,3610.0,2210.0
114,"tuition, education, and textbook amounts",#,2004,1140.0,163780.0,368500.0,281360.0,219200.0,177340.0,154710.0,133300.0,124720.0,104350.0,165920.0,135780.0,102250.0,62650.0,41600.0,79530.0,30410.0,19010.0
115,interest paid on student loans,#,2004,3160.0,23400.0,49000.0,73030.0,79660.0,82580.0,77100.0,72910.0,58160.0,46620.0,62520.0,37540.0,18760.0,9310.0,4900.0,7630.0,1880.0,690.0
116,amounts transferred from spouse or common-law partner,#,2004,12100.0,52540.0,108140.0,135060.0,92990.0,72540.0,55450.0,44170.0,33300.0,23540.0,35340.0,24600.0,14470.0,8430.0,6010.0,11050.0,3880.0,2080.0
117,medical expenses,#,2004,16460.0,207220.0,353720.0,537970.0,430920.0,354760.0,288620.0,212380.0,161680.0,111040.0,144760.0,88400.0,49470.0,29740.0,20270.0,43840.0,21500.0,15080.0
118,total tax credits on personal amounts,#,2004,951980.0,4439820.0,2764250.0,2303230.0,1766650.0,1600730.0,1509330.0,1339270.0,1143260.0,949900.0,1441900.0,1033700.0,708500.0,427140.0,277090.0,519880.0,203010.0,123960.0
119,donations and gifts,#,2004,0.0,67120.0,208960.0,450470.0,444210.0,457410.0,471090.0,459430.0,433430.0,379340.0,631200.0,514020.0,388590.0,246830.0,170470.0,340480.0,145240.0,96150.0
120,eligible cultural and ecological gifts,#,2004,50.0,0.0,90.0,340.0,370.0,360.0,690.0,380.0,250.0,440.0,590.0,1050.0,420.0,340.0,260.0,490.0,300.0,270.0
121,total tax credit on donations and gifts,#,2004,50.0,62920.0,201370.0,442720.0,436700.0,449950.0,465140.0,453400.0,427700.0,375000.0,625570.0,511050.0,386030.0,245620.0,169860.0,339580.0,144870.0,96030.0
122,total federal non-refundable tax credits,#,2004,951980.0,4439860.0,2764310.0,2303270.0,1766690.0,1600770.0,1509330.0,1339330.0,1143310.0,949920.0,1441900.0,1033720.0,708500.0,427140.0,277100.0,519900.0,203050.0,123990.0
123,basic federal tax,#,2004,20.0,317500.0,1151640.0,1693600.0,1613380.0,1534700.0,1473880.0,1317180.0,1131540.0,943800.0,1435000.0,1031210.0,706870.0,426320.0,276800.0,519030.0,202330.0,124030.0
124,federal dividend tax credit,#,2004,8450.0,205870.0,178460.0,207180.0,186530.0,199170.0,199370.0,196210.0,180040.0,159980.0,268760.0,219840.0,169540.0,117300.0,86110.0,198780.0,100240.0,78070.0
125,Federal tax,#,2004,20.0,316930.0,1150930.0,1692280.0,1611960.0,1533310.0,1473140.0,1316240.0,1130850.0,942920.0,1433780.0,1029980.0,705570.0,425360.0,276160.0,516940.0,201650.0,123690.0
126,net federal tax,#,2004,20.0,304900.0,1128210.0,1666910.0,1603950.0,1529690.0,1470590.0,1314660.0,1129830.0,942030.0,1432710.0,1029350.0,705240.0,425140.0,276120.0,516880.0,201570.0,123660.0
127,net provincial or territorial tax,#,2004,320.0,83760.0,455000.0,885610.0,1091510.0,1097180.0,1059990.0,974010.0,846940.0,712390.0,1109610.0,810780.0,582570.0,346730.0,227350.0,428000.0,165200.0,103790.0
